"ACCESSIBLE","ID","IDEND","IDSTART","NAME","POINTS"
"","1","1","2","CCHLA Portão Principal","[""-7.1406228,-34.8493773"",""-7.141512,-34.8491466"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","2","1","3","CCSA Portão Principal","[""-7.1411687,-34.8502612"",""-7.1418509,-34.850084"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","3","1","4","CCS Portão Principal","[""-7.135127400000001,-34.8417964"",""-7.1343413,-34.8414258"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","4","1","5","CCS Portão Principal","[""-7.1355346,-34.8416901"",""-7.1343413,-34.8414258"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","5","1","6","CCS Portão Principal","[""-7.1363786,-34.8418702"",""-7.1363581,-34.8417966"",""-7.136439699999999,-34.84176710000001"",""-7.1362068,-34.8413633"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","6","1","7","CCS Portão Principal","[""-7.1363163,-34.8425924"",""-7.1363581,-34.8417966"",""-7.136439699999999,-34.84176710000001"",""-7.1362068,-34.8413633"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","7","1","8","CCS Portão Principal","[""-7.136393,-34.842573"",""-7.1363581,-34.8417966"",""-7.136439699999999,-34.84176710000001"",""-7.1362068,-34.8413633"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","8","1","9","CCM Portão Principal","[""-7.1366945,-34.8407057"",""-7.1362068,-34.8413633"",""-7.134225799999999,-34.8414661"",""-7.1338573,-34.8401935"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","9","1","10","CCEN Portão Principal","[""-7.140424299999999,-34.8452052"",""-7.1407484,-34.8454131"",""-7.144948299999999,-34.850429"",-7.1388089,-34.8510586""]"
"","10","1","11","CCEN Portão Principal","[""-7.1397265,-34.8455311"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","11","1","12","CCEN Portão Principal","[""-7.1395844,-34.845572"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","12","1","13","CCEN Portão Principal","[""-7.139074799999999,-34.8454934"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","13","1","14","CCEN Portão Principal","[""-7.138465999999999,-34.845502"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","14","1","15","CCEN Portão Principal","[""-7.1381358,-34.8455899"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","15","1","16","CCEN Portão Principal","[""-7.137336700000001,-34.845671"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","16","1","17","CCEN Portão Principal","[""-7.137227999999999,-34.8457038"",""-7.1411263,-34.8475926"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","17","1","18","C.VIVENCIAS Portão Principal","[""-7.137601900000001,-34.8474328"",""-7.1385771,-34.849868"",""-7.141512,-34.8491466"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
"","18","1","19","C.VIVENCIAS Portão Principal","[""-7.1380598,-34.8478409"",""-7.1385771,-34.849868"",""-7.141512,-34.8491466"",""-7.1422274,-34.8513587"",-7.1388089,-34.8510586""]"
